user_id,signup_month,city_tier,autopay_week1,completed_onboarding,months_active,churn_reason,retained_6m
1,2025-01,Tier 2,False,True,6,retained,True
2,2025-05,Tier 2,True,True,6,retained,True
3,2025-04,Tier 1,False,True,6,retained,True
4,2025-03,Tier 2,True,True,6,retained,True
5,2025-03,Tier 1,True,True,6,retained,True
6,2025-06,Tier 2,False,True,4,payment_failure,False
7,2025-01,Tier 2,True,True,6,retained,True
8,2025-05,Tier 1,False,False,6,retained,True
9,2025-02,Tier 1,False,True,6,retained,True
10,2025-01,Tier 2,True,True,6,retained,True
11,2025-04,Tier 1,True,True,3,voluntary,False
12,2025-06,Tier 3,False,True,5,payment_failure,False
13,2025-05,Tier 2,False,True,6,retained,True
14,2025-05,Tier 2,True,True,4,voluntary,False
15,2025-05,Tier 1,False,True,6,retained,True
16,2025-05,Tier 2,False,False,1,voluntary,False
17,2025-04,Tier 3,False,True,6,payment_failure,False
18,2025-01,Tier 1,True,False,2,voluntary,False
19,2025-06,Tier 1,False,True,2,payment_failure,False
20,2025-03,Tier 1,False,True,6,retained,True
21,2025-04,Tier 1,True,False,4,voluntary,False
22,2025-03,Tier 2,False,False,4,voluntary,False
23,2025-02,Tier 1,False,True,2,voluntary,False
24,2025-06,Tier 2,False,True,6,retained,True
25,2025-05,Tier 1,False,True,2,payment_failure,False
26,2025-04,Tier 1,False,True,6,retained,True
27,2025-03,Tier 1,False,True,6,retained,True
28,2025-05,Tier 3,False,True,6,retained,True
29,2025-04,Tier 2,True,True,6,retained,True
30,2025-03,Tier 1,True,True,6,retained,True
31,2025-03,Tier 2,True,False,2,voluntary,False
32,2025-02,Tier 1,False,True,6,retained,True
33,2025-01,Tier 1,True,True,6,retained,True
34,2025-04,Tier 1,False,True,6,retained,True
35,2025-06,Tier 3,False,False,6,retained,True
36,2025-01,Tier 2,True,True,6,retained,True
37,2025-06,Tier 2,False,False,1,voluntary,False
38,2025-05,Tier 1,False,True,1,payment_failure,False
39,2025-02,Tier 1,True,True,6,retained,True
40,2025-04,Tier 2,True,True,6,retained,True
41,2025-01,Tier 1,True,True,6,retained,True
42,2025-05,Tier 3,True,False,4,voluntary,False
43,2025-05,Tier 2,True,True,6,retained,True
44,2025-03,Tier 1,False,True,6,retained,True
45,2025-01,Tier 2,True,True,6,retained,True
46,2025-06,Tier 3,True,False,6,retained,True
47,2025-03,Tier 1,True,True,6,retained,True
48,2025-06,Tier 2,True,True,6,retained,True
49,2025-05,Tier 3,False,True,6,retained,True
50,2025-05,Tier 1,True,False,6,retained,True
51,2025-05,Tier 3,True,False,6,retained,True
52,2025-02,Tier 1,False,False,6,retained,True
53,2025-03,Tier 2,False,True,6,retained,True
54,2025-03,Tier 2,False,True,4,voluntary,False
55,2025-03,Tier 2,False,False,2,payment_failure,False
56,2025-01,Tier 1,False,False,2,payment_failure,False
57,2025-04,Tier 2,False,True,6,retained,True
58,2025-01,Tier 1,False,True,6,retained,True
59,2025-05,Tier 1,True,False,6,retained,True
60,2025-05,Tier 1,False,True,6,payment_failure,False
61,2025-06,Tier 2,False,True,6,retained,True
62,2025-05,Tier 1,False,False,3,voluntary,False
63,2025-03,Tier 1,False,True,3,voluntary,False
64,2025-06,Tier 3,False,True,6,retained,True
65,2025-03,Tier 1,True,True,6,retained,True
66,2025-02,Tier 1,False,True,4,payment_failure,False
67,2025-06,Tier 1,True,False,6,retained,True
68,2025-03,Tier 1,False,True,6,retained,True
69,2025-01,Tier 2,False,True,6,retained,True
70,2025-03,Tier 1,True,True,6,retained,True
71,2025-05,Tier 1,True,True,6,retained,True
72,2025-02,Tier 3,True,False,6,retained,True
73,2025-03,Tier 2,False,True,3,voluntary,False
74,2025-01,Tier 2,False,True,6,payment_failure,False
75,2025-05,Tier 3,False,True,3,voluntary,False
76,2025-03,Tier 3,True,True,6,retained,True
77,2025-02,Tier 1,False,True,6,retained,True
78,2025-02,Tier 2,False,True,5,voluntary,False
79,2025-04,Tier 2,True,True,6,retained,True
80,2025-05,Tier 1,True,True,6,retained,True
81,2025-06,Tier 1,False,True,6,retained,True
82,2025-03,Tier 1,True,True,6,retained,True
83,2025-01,Tier 2,True,True,6,retained,True
84,2025-05,Tier 2,True,True,5,voluntary,False
85,2025-04,Tier 2,True,True,6,retained,True
86,2025-05,Tier 1,True,False,6,retained,True
87,2025-01,Tier 1,True,True,6,retained,True
88,2025-02,Tier 1,False,True,6,payment_failure,False
89,2025-05,Tier 2,False,True,6,retained,True
90,2025-05,Tier 3,True,True,2,voluntary,False
91,2025-03,Tier 3,False,True,6,retained,True
92,2025-05,Tier 3,False,True,2,voluntary,False
93,2025-06,Tier 3,True,True,6,retained,True
94,2025-03,Tier 3,True,True,6,retained,True
95,2025-06,Tier 1,True,True,6,retained,True
96,2025-02,Tier 1,False,False,1,voluntary,False
97,2025-02,Tier 1,False,True,6,retained,True
